		 Art.Nr.									   Artikelbezeichnung											Preis D			Preis CH			   VE																																		 Kategorie				   Unterkategorie																																							   Lagerbestand																																																																																																																														Farbe			GrÃ¶Ãe		  Kennzeichen													
         222514,               ,   Dekokugel Ramos Inspirio schwarz 16cm,   Dekokugel Ramos Inspirio schwarz 16cm,    1.99,       0,    4.69,       0,     6,      ,      ,      ,        ,          ,          ,       162,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,                              ,                    , ,               ,               ,                                    ,               ,               ,            162,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        schwarz,               ,              222507,162       ,0       ,0       ,0       ,0       ,0       ,0,
         224200,               ,      KÃ¼bel Daisy flower power weiÃ 12cm,      KÃ¼bel Daisy flower power weiÃ 12cm,    0.79,       0,    1.09,       0,     9,      ,      ,      ,        ,          ,          ,         9,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,              9,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             12,              224200,9         ,0       ,0       ,0       ,0       ,0       ,0,
         224201,               ,      KÃ¼bel Daisy flower power weiÃ 14cm,      KÃ¼bel Daisy flower power weiÃ 14cm,    0.79,       0,    0.99,       0,     9,      ,      ,      ,        ,          ,          ,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,              2,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             14,              224200,2         ,0       ,0       ,0       ,0       ,0       ,0,
         224202,               ,      KÃ¼bel Daisy flower power weiÃ 16cm,      KÃ¼bel Daisy flower power weiÃ 16cm,    0.99,       0,    1.39,       0,     6,      ,      ,      ,        ,          ,          ,       202,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,            202,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             16,              224200,202       ,0       ,0       ,0       ,0       ,0       ,0,
         224203,               ,      KÃ¼bel Daisy flower power weiÃ 18cm,      KÃ¼bel Daisy flower power weiÃ 18cm,    1.39,       0,    1.99,       0,     4,      ,      ,      ,        ,          ,          ,       149,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,            149,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             18,              224200,149       ,0       ,0       ,0       ,0       ,0       ,0,
         224212,               ,        KÃ¼bel New Sila Wood vintage 12cm,        KÃ¼bel New Sila Wood vintage 12cm,    1.59,       0,    2.19,       0,     9,      ,      ,      ,        ,          ,          ,        22,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             22,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        vintage,             12,              224204,22        ,0       ,0       ,0       ,0       ,0       ,0,
         224213,               ,        KÃ¼bel New Sila Wood vintage 14cm,        KÃ¼bel New Sila Wood vintage 14cm,    1.99,       0,    2.69,       0,     9,      ,      ,      ,        ,          ,          ,       162,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,            162,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        vintage,             14,              224204,162       ,0       ,0       ,0       ,0       ,0       ,0,
         224214,               ,        KÃ¼bel New Sila Wood vintage 16cm,        KÃ¼bel New Sila Wood vintage 16cm,    2.59,       0,    3.59,       0,     6,      ,      ,      ,        ,          ,          ,        40,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             40,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        vintage,             16,              224204,40        ,0       ,0       ,0       ,0       ,0       ,0,
         224222,               ,    KÃ¼bel New Sila Stone grau-beige 16cm,    KÃ¼bel New Sila Stone grau-beige 16cm,    1.89,       0,    2.59,       0,     6,      ,      ,      ,        ,          ,          ,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             11,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,     grau-beige,             16,              224204,11        ,0       ,0       ,0       ,0       ,0       ,0,
         224652,               ,                 ZylinderkÃ¼bel weiÃ 12cm,                 ZylinderkÃ¼bel weiÃ 12cm,       0,       0,       0,       0,    18,      ,      ,      ,        ,          ,          ,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,             16,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             12,              224652,16        ,0       ,0       ,0       ,0       ,0       ,0,
         224653,               ,                SmartPot Mum weiÃ 13.5cm,                SmartPot Mum weiÃ 13.5cm,    1.99,       0,    2.79,       0,     6,      ,      ,      ,        ,          ,          ,       179,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,            179,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,     i love mum,           13.5,              224653,179       ,0       ,0       ,0       ,0       ,0       ,0,
         224654,               ,                 ZylinderkÃ¼bel weiÃ 15cm,                 ZylinderkÃ¼bel weiÃ 15cm,    2.59,       0,       0,       0,    10,      ,      ,      ,        ,          ,          ,       205,          ,     ,          ,     ,          ,     ,                       KERAMIK,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,            205,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,               ,              224652,205       ,0       ,0       ,0       ,0       ,0       ,0,
         224699,               ,         Mini-KÃ¼bel Nemo deluxe weiÃ 8cm,         Mini-KÃ¼bel Nemo deluxe weiÃ 8cm,    0.99,       0,    1.39,       0,    20,      ,      ,      ,        ,          ,          ,       256,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,            256,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,              8,              224699,256       ,0       ,0       ,0       ,0       ,0       ,0,
         224700,               ,             KÃ¼bel Nemo deluxe weiÃ 13cm,             KÃ¼bel Nemo deluxe weiÃ 13cm,    1.99,       0,    2.79,       0,     8,      ,      ,      ,        ,          ,          ,       323,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,            323,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             13,              224699,323       ,0       ,0       ,0       ,0       ,0       ,0,
         224701,               ,             KÃ¼bel Nemo deluxe weiÃ 15cm,             KÃ¼bel Nemo deluxe weiÃ 15cm,    2.99,       0,    4.19,       0,     5,      ,      ,      ,        ,          ,          ,        83,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             83,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             15,              224699,83        ,0       ,0       ,0       ,0       ,0       ,0,
         224702,               ,             KÃ¼bel Nemo deluxe weiÃ 18cm,             KÃ¼bel Nemo deluxe weiÃ 18cm,    4.99,       0,    6.99,       0,     4,      ,      ,      ,        ,          ,          ,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             24,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           weiÃ,             18,              224699,24        ,0       ,0       ,0       ,0       ,0       ,0,
         224706,               ,             KÃ¼bel Nemo deluxe grau 15cm,             KÃ¼bel Nemo deluxe grau 15cm,    2.99,       0,    4.19,       0,     5,      ,      ,      ,        ,          ,          ,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             15,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           grau,             15,              224699,15        ,0       ,0       ,0       ,0       ,0       ,0,
         224707,               ,             KÃ¼bel Nemo deluxe grau 18cm,             KÃ¼bel Nemo deluxe grau 18cm,    4.99,       0,    6.99,       0,     4,      ,      ,      ,        ,          ,          ,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             15,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,           grau,             18,              224699,15        ,0       ,0       ,0       ,0       ,0       ,0,
